Date,Precip,Air max,min,RH max,min
20170810,0,78,65,93,67
20170811,0,78,66,92,68
20170812,0,77,65,92,65
20170813,0,78,65,92,63
20170814,0,76,63,91,64
20170815,0,70,60,91,71
20170816,0,75,63,86,57
20170817,0,77,61,93,59
20170818,0,76,64,90,64
20170819,0,75,64,89,69
20170820,0,75,66,86,65
20170821,0,76,66,86,63
20170822,0,77,65,89,68
20170823,0,70,65,90,77
20170824,0,69,65,87,77
20170825,0,77,65,,
20170826,0,80,64,,
20170827,0,81,66,,
20170828,0,83,65,,
20170829,0,90,65,,
20170830,0,90,66,,
20170831,0,86,68,94,56
20170901,0,93,68,95,33
20170902,0,94,71,,
20170903,0.04,88,70,,
20170904,0,77,68,93,69
20170905,0,82,67,93,63
20170906,0,82,68,92,61
20170907,0,81,67,92,62
20170908,0.02,77,67,93,61
20170909,0.01,78,67,90,60
20170910,0,81,66,92,54
20170911,0,88,67,100,55
20170912,0,80,68,94,62
20170913,0,78,62,100,59
20170914,0,78,65,89,53
20170915,0,75,64,,
20170916,0,75,63,,
20170917,0,75,65,100,63
20170918,0,77,62,,
20170919,0,78,65,,
20170920,0,77,63,,
20170921,0.01,72,59,,
20170922,0,74,57,,
20170923,0,72,56,,
20170924,0,81,52,,
20170925,0,87,53,,
20170926,0,84,55,,
20170927,0,82,54,,
20170928,0.01,83,58,,
20170929,0.01,86,59,,
20170930,0.01,78,58,,
20171001,0,74,63,,
20171002,0,75,58,,
20171003,0,73,62,,
20171004,0,77,54,,
20171005,0,81,53,,
20171006,0,88,52,,
20171007,0,93,55,,
20171008,0,74,61,,
20171009,0,81,57,,
20171010,0.01,81,52,,
20171011,0,75,56,,
20171012,0,74,58,,
20171013,0.01,75,58,,
20171014,0.01,79,54,,
20171015,0,97,51,,
20171016,0,96,60,,
20171017,0,93,61,,
20171018,0,82,60,,
20171019,0,74,61,,
20171020,0,69,60,,
20171021,0,75,54,,
20171022,0,89,54,,
20171023,0,100,65,,
20171024,0,103,62,,
20171025,0,100,63,,
20171026,0,92,59,,
20171027,0,81,55,91,39
20171028,0,74,60,94,62
20171029,0,70,62,91,63
20171030,0,67,60,78,59
20171031,0,67,60,80,62
20171101,0,68,61,74,51
20171102,0,70,57,76,48
20171103,0,70,54,75,43
20171104,0,70,53,88,57
20171105,0,71,56,88,57
20171106,0,71,56,91,56
20171107,0,74,58,91,48
20171108,0,74,56,89,48
20171109,0.02,71,58,90,54
20171110,0,69,53,91,59
20171111,0,70,51,92,57
20171112,0,68,53,91,61
20171113,0,72,56,93,52
20171114,0,76,52,91,29
20171115,0,78,53,78,30
20171116,0,81,58,70,26
20171117,0,73,58,92,50
20171118,0,76,52,92,44
20171119,0,74,49,94,26
20171120,0,74,50,64,22
20171121,0,86,56,52,15
20171122,0,92,59,49,13
20171123,0,90,64,38,16
20171124,0,85,60,76,20
20171125,0,69,55,95,41
20171126,0,67,54,96,65
20171127,0.01,66,50,91,59
20171128,0,66,48,83,59
20171129,0,68,55,85,59
20171130,0,68,54,79,59
20171201,0,71,52,92,45
20171202,0,71,51,94,54
20171203,0,69,56,94,64
20171204,0,67,50,92,52
20171205,0,72,45,90,11
20171206,0,73,48,32,15
20171207,0,77,48,44,6
20171208,0,77,51,26,11
20171209,0,80,51,26,11
20171210,0,78,56,20,10
20171211,0,80,54,24,9
20171212,0,81,53,21,7
20171213,0,81,52,76,7
20171214,0,74,47,73,13
20171215,0,82,51,39,11
20171216,0,65,51,88,22
20171217,0,70,46,89,24
20171218,0,70,48,58,20
20171219,0,69,46,77,30
20171220,0.14,63,45,90,48
20171221,0,61,44,92,22
20171222,0,65,39,59,14
20171223,0,67,42,62,17
20171224,0,70,44,91,18
20171225,0,69,44,90,24
20171226,0,64,42,95,30
20171227,0,73,46,95,34
20171228,0.01,82,48,95,18
20171229,0,82,47,93,14
20171230,0,76,49,94,17
20171231,0,66,46,95,49
20180101,0,67,48,96,50
20180102,0,74,52,94,29
20180103,0,69,53,93,48
20180104,0,75,52,95,29
20180105,0,73,54,94,40
20180106,0,71,57,95,59
20180107,0,70,54,94,56
20180108,0.24,71,59,91,48
20180109,1.56,64,55,95,63
20180110,0.1,62,52,93,73
20180111,0.04,69,49,94,52
20180112,0.02,72,49,96,51
20180113,0,80,54,78,17
20180114,0,80,55,75,16
20180115,0,72,53,82,26
20180116,0,70,50,93,46
20180117,0,74,52,92,35
20180118,0,74,52,92,39
20180119,0.01,64,54,93,64
20180120,0,60,49,65,41
20180121,0,62,44,73,37
20180122,0,66,44,61,24
20180123,0,72,45,50,20
20180124,0,77,48,45,10
20180125,0,63,44,81,36
20180126,0,62,47,83,39
20180127,0,70,45,66,18
20180128,0,81,49,39,13
20180129,0,84,53,36,12
20180130,0,82,58,32,12
20180131,0,77,54,49,15
20180201,0,74,52,90,34
20180202,0,79,54,66,17
